Colonne,Valeurs_Manquantes,Total,Pourcentage_Manquant,Type_Donnee
Mois,160,160,100.0,Vide
Heure_Echantillon,160,160,100.0,Vide
Debit_Entree_m3_jour,160,160,100.0,Vide
Charge_Hydraulique_cm_jour,160,160,100.0,Vide
Operation,160,160,100.0,Vide
Observations,160,160,100.0,Vide
Oeufs_Helminthes,130,160,81.25,Numérique
MVS_pct,112,160,70.0,Numérique
Huiles_Graisses,112,160,70.0,Numérique
Temperature_C,102,160,63.74999999999999,Numérique
Conductivite_uS_cm,96,160,60.0,Numérique
Date,85,160,53.125,Métadonnée
DBO5_mg_L,69,160,43.125,Numérique
Coliformes_Fecaux_CFU_100ml,68,160,42.5,Numérique
MES_mg_L,67,160,41.875,Numérique
Phosphates_mg_L,67,160,41.875,Numérique
Nitrates_mg_L,67,160,41.875,Numérique
DCO_mg_L,67,160,41.875,Numérique
Azote_Total_mg_L,67,160,41.875,Numérique
Ammonium_mg_L,67,160,41.875,Numérique
Potentiel_Redox_mV,53,160,33.125,Numérique
pH,45,160,28.125,Numérique
ID_Station,0,160,0.0,Métadonnée
Nom_Feuille,0,160,0.0,Texte
Phase,0,160,0.0,Métadonnée
Type_Filtre,0,160,0.0,Métadonnée
ID_Filtre,0,160,0.0,Texte
